Obs No,HOME TYPE,CITY,BEDS,BATHS,SQFT,LOT SIZE,RATIO,AGE,YEAR BUILT, LIST PRICE ,DAYS ON MARKET, PRICE/SQFT , ORIGINAL LIST PRICE , LAST SALE PRICE , LAST PRICE/SQFT ,LAST SALE DATE,LATITUDE,LONGITUDE
421,Single Family Residential,Westlake Village,5,4.5,4103,16758,4.08,18,2000,1135000,12,276.63,1135000,601500.00,146.6,5/26/2000,34.231193,-118.794249
422,Single Family Residential,Westlake Village,6,5.5,4768,27443,5.76,40,1978,2149900,49,450.9,2199900,1525000.00,319.84,12/11/2014,34.18418,-118.819781
423,Single Family Residential,Westlake Village,5,2.5,2346,8268,3.52,39,1979,549000,48,234.02,559950,420000.00,179.03,2/1/2009,34.271004,-118.756608
424,Single Family Residential,Diamond Bar,3,1.75,1499,8009,5.34,45,1973,419000,133,279.52,489000,58000.00,38.69,7/1/1977,34.018962,-117.816519
425,Single Family Residential,Irvine,2,1.75,1224,2968,2.42,44,1974,574900,15,469.69,574900,160000.00,130.72,10/9/1998,33.662829,-117.803854
426,Single Family Residential,Diamond Bar,4,3,2221,10399,4.68,50,1968,798800,87,359.66,798800,200000.00,90.05,3/14/1994,33.991587,-117.82318
427,Single Family Residential,Westlake Village,4,2.25,2611,11115,4.26,38,1980,729900,1,279.55,729900,330000.00,126.39,12/7/1992,34.2898,-118.681746
428,Single Family Residential,Westlake Village,5,2.75,2378,7274,3.06,20,1998,749000,42,314.97,749000,373500.00,157.06,2/26/1999,34.287397,-118.570023
429,Single Family Residential,Westlake Village,4,2.5,1954,7300,3.74,53,1965,520000,204,266.12,539000,585000.00,299.39,4/21/2006,34.285031,-118.745209
430,Single Family Residential,Diamond Bar,5,3,2669,12714,4.76,52,1966,720000,31,269.76,720000,680000.00,254.78,8/27/2013,34.03069,-117.798685
431,Single Family Residential,Westside,3,3,2051,2499,1.22,13,2005,1799000,85,877.13,1799000,975000.00,475.38,7/15/2010,33.98619,-118.455949
432,Single Family Residential,Los Angeles,3,2.25,2359,7181,3.04,55,1963,1099000,6,465.88,1099000,780000.00,330.65,3/31/2011,33.798923,-118.355007
433,Single Family Residential,Diamond Bar,3,2,1534,7378,4.81,40,1978,639000,108,423.08,649000,420000.00,273.79,6/8/2010,33.995992,-117.808223
434,Single Family Residential,Los Angeles,3,3,2180,7317,3.36,68,1950,1499000,14,687.61,1499000,1050000.00,481.65,9/25/2015,33.971098,-118.404648
435,Single Family Residential,Diamond Bar,5,3,2669,12714,4.76,52,1966,720000,31,269.76,720000,680000.00,254.78,8/27/2013,34.03069,-117.798685
436,Single Family Residential,Westlake Village,5,3,2498,6500,2.6,50,1968,664900,7,266.17,664900,235000.00,94.08,4/15/1998,34.274462,-118.75368
437,Single Family Residential,Los Angeles,4,2.5,3415,10736,3.14,32,1986,999000,9,292.53,999000,420000.00,122.99,1/31/2002,33.809323,-118.318986
438,Single Family Residential,Westlake Village,4,3,2460,25237,10.26,40,1978,735950,60,299.17,735950,419000.00,170.33,10/10/2001,34.24094,-118.775936
439,Single Family Residential,Westlake Village,3,2.5,1547,3956,2.56,20,1998,479999,31,310.28,499999,561500.00,362.96,8/5/2005,34.268189,-118.793986
440,Townhouse,Los Angeles,3,2.5,1520,14399,9.47,11,2007,435000,137,286.18,465000,420000.00,276.32,4/29/2008,33.819841,-118.304471
441,Single Family Residential,Los Angeles,3,3.75,2781,5190,1.87,84,1934,2089000,15,751.17,2089000,1605000.00,577.13,5/17/2011,34.100936,-118.267127
442,Single Family Residential,Irvine,2,1.25,976,4959,5.08,48,1970,639999,9,655.74,639999,289000.00,296.11,1/22/2002,33.698436,-117.782037
443,Single Family Residential,Westside,3,1,1112,5280,4.75,66,1952,1950000,49,1753.6,1950000,1500000.00,1348.92,9/11/2014,33.997797,-118.465734
444,Townhouse,Los Angeles,2,2.5,1277,7351,5.76,15,2003,565000,42,442.44,580000,490000.00,383.71,9/18/2013,33.820442,-118.318376
445,Single Family Residential,Diamond Bar,7,6.5,5625,59254,10.53,28,1990,2970000,349,528,3680000,2270000.00,403.56,7/23/2012,33.9796,-117.823433
446,Single Family Residential,Redondo Beach,4,3.5,3188,6614,2.07,28,1990,2280888,3,715.46,2280888,644000.00,202.01,3/29/1991,33.880324,-118.38381
447,Single Family Residential,Westlake Village,4,4.5,4109,12492,3.04,28,1990,899000,219,218.79,900000,1049000.00,255.29,6/18/2004,34.241986,-118.811479
448,Townhouse,Redondo Beach,4,3,2355,7355,3.12,6,2012,1125000,8,477.71,1125000,859000.00,364.76,1/14/2013,33.881174,-118.37826
449,Single Family Residential,Redondo Beach,5,4.5,3714,5406,1.46,3,2015,3399000,42,915.19,3339000,3095000.00,833.33,7/13/2015,33.899749,-118.405431
450,Single Family Residential,Diamond Bar,4,2,1850,7487,4.05,54,1964,649000,7,350.81,649000,465000.00,251.35,6/20/2012,33.96572,-117.847414
451,Single Family Residential,Los Angeles,4,2.25,1571,3241,2.06,51,1967,499000,115,317.63,549000,46000.00,29.28,11/22/1976,33.829752,-118.255514
452,Single Family Residential,Redondo Beach,3,2,1159,5766,4.97,65,1953,749000,2,646.25,749000,409000.00,352.89,5/1/2003,33.859734,-118.361445
453,Single Family Residential,Los Angeles,3,2,1128,3893,3.45,65,1953,395000,24,350.18,395000,417000.00,369.68,4/10/2005,33.828963,-118.26705
454,Townhouse,Irvine,2,2,1409,1000,0.71,4,2014,539900,33,383.18,539900,491500.00,348.83,12/12/2014,,
455,Single Family Residential,Irvine,5,3,2089,4928,2.36,45,1973,799500,196,382.72,849000,459000.00,219.72,9/11/2003,33.703963,-117.798434
456,Single Family Residential,Los Angeles,3,3,2400,4082,1.7,69,1949,699000,7,291.25,699000,515000.00,214.58,12/4/2003,33.794113,-118.322944
457,Townhouse,Westside,3,2.5,1942,5565,2.87,26,1992,1595000,132,821.32,1695000,1195000.00,615.35,10/10/2013,33.997098,-118.469764
458,Single Family Residential,Westside,3,3,2173,4401,2.03,72,1946,1450000,37,667.28,1527000,2000000.00,920.39,6/11/1992,34.003059,-118.465943
459,Townhouse,Redondo Beach,3,3.5,1912,2701,1.41,22,1996,2800000,14,1464.44,2800000,2200000.00,1150.63,3/6/2014,33.900214,-118.418788
460,Single Family Residential,Los Angeles,5,3.75,3040,8841,2.91,25,1993,1750000,13,575.66,1750000,1584000.00,521.05,11/22/2005,33.978875,-118.402299
461,Single Family Residential,Westlake Village,5,4.5,3983,14612,3.67,17,2001,1296620,36,275.92,1258415,1437458.00,325.13,9/7/2007,34.227623,-118.79909
462,Single Family Residential,Westlake Village,4,2.5,2069,3327,1.61,18,2000,649000,21,313.68,649000,560000.00,270.66,6/8/2010,34.23525,-118.789595
463,Single Family Residential,Irvine,3,2.5,2108,5500,2.61,31,1987,965000,69,457.78,986900,505000.00,239.56,4/19/2002,33.676125,-117.819809
464,Single Family Residential,Diamond Bar,5,3,2766,7224,2.61,51,1967,688000,10,248.73,688000,450000.00,162.69,9/15/2009,34.033678,-117.800871
465,Single Family Residential,Palos Verdes Area,4,4,3208,7734,2.41,40,1978,1715000,52,534.6,1865000,775000.00,241.58,7/31/1998,33.79578,-118.358439
466,Single Family Residential,Westside,3,1.75,935,2494,2.67,65,1953,999000,20,1068.45,999000,525000.00,561.5,1/2/2003,33.986577,-118.449982
467,Single Family Residential,Diamond Bar,3,2,2206,11110,5.04,50,1968,749000,55,339.53,769000,500000.00,226.65,2/26/2010,33.990258,-117.824311
468,Single Family Residential,Palos Verdes Area,3,2,1508,9049,6,59,1959,769000,191,509.95,830000,650000.00,431.03,4/2/2004,33.764295,-118.311682
469,Single Family Residential,Los Angeles,6,7.25,3786,6563,1.73,71,1947,1699000,77,448.76,1699000,805000.00,212.63,11/4/2014,33.964639,-118.41224
470,Single Family Residential,Redondo Beach,4,3,1504,2536,1.69,89,1929,2250000,44,1496.01,2350000,1362500.00,905.92,5/14/2004,33.872255,-118.402261
471,Single Family Residential,Irvine,4,4.5,3469,6985,2.01,14,2004,2650000,25,763.91,2650000,1610000.00,464.11,4/24/2012,33.626414,-117.825831
472,Single Family Residential,Diamond Bar,4,6,6517,44406,6.81,40,1978,2980000,744,457.27,4290000,1280000.00,196.41,1/3/2000,33.976539,-117.831717
473,Single Family Residential,Irvine,3,2.5,2200,5037,2.29,16,2002,1075000,28,488.64,1075000,559500.00,254.32,11/5/2002,33.720505,-117.781923
474,Single Family Residential,Irvine,4,2.5,2460,4421,1.8,13,2005,1589000,127,645.93,1672000,930000.00,378.05,10/25/2012,33.644383,-117.770047
475,Single Family Residential,Los Angeles,4,3.75,2974,5958,2,49,1969,724999,18,243.78,724999,350000.00,117.69,5/2/2001,33.809352,-118.29407
476,Single Family Residential,Irvine,3,2,1440,9800,6.81,41,1977,730000,38,506.94,699900,232000.00,161.11,12/2/1993,33.690562,-117.797906
477,Townhouse,Irvine,2,2.5,1350,1350,1,18,2000,485000,95,359.26,498800,341000.00,252.59,3/27/2003,33.729305,-117.773356
478,Single Family Residential,Los Angeles,3,1,901,4063,4.51,95,1923,489000,329,542.73,499900,370000.00,410.65,1/2/2008,33.732222,-118.300828
479,Single Family Residential,Irvine,4,3,3150,5335,1.69,18,2000,1320000,70,419.05,1340000,905000.00,287.3,6/17/2013,33.664349,-117.780437
480,Single Family Residential,Westlake Village,4,3,2303,9974,4.33,40,1978,739900,2,321.28,739900,143500.00,62.31,6/21/1979,34.279076,-118.556733
481,Single Family Residential,Westside,5,7,6072,7500,1.24,14,2004,4699000,10,773.88,4699000,3400000.00,559.95,10/7/2005,34.033853,-118.502119
482,Single Family Residential,Los Angeles,3,2.75,1486,2567,1.73,93,1925,989000,208,665.55,989000,295000.00,198.52,9/8/2000,34.087067,-118.276493
483,Single Family Residential,Westlake Village,3,2,1462,7593,5.19,46,1972,769000,1,525.99,769000,608000.00,415.87,4/8/2009,34.170356,-118.823426
484,Single Family Residential,Los Angeles,4,3,3215,6136,1.91,68,1950,1799000,36,559.56,1825000,1450000.00,451.01,10/2/2013,33.973555,-118.403899
485,Single Family Residential,Los Angeles,3,2,1391,5926,4.26,62,1956,399900,79,287.49,399900,450000.00,323.51,7/25/2005,33.79457,-118.273458
486,Single Family Residential,Irvine,6,4,3647,6211,1.7,49,1969,1218000,42,333.97,1218000,490000.00,134.36,10/23/2001,33.683022,-117.777106
487,Single Family Residential,Irvine,5,3.75,3635,4000,1.1,31,1987,1399888,256,385.11,1795000,960000.00,264.1,3/1/2011,33.641768,-117.813151
488,Single Family Residential,Irvine,4,2.5,2500,5200,2.08,46,1972,1350000,41,540,1350000,980000.00,392,3/22/2010,33.631413,-117.809039
489,Single Family Residential,Diamond Bar,4,2,1859,10560,5.68,53,1965,588888,69,316.78,588888,230000.00,123.72,3/28/2000,34.030116,-117.800669
490,Single Family Residential,Westside,4,3,2986,12700,4.25,97,1921,5499888,139,1841.89,5499888,2400000.00,803.75,1/27/2011,34.029324,-118.505162
491,Single Family Residential,Los Angeles,4,3.5,3065,12766,4.17,63,1955,1179000,38,384.67,1249000,590000.00,192.5,4/23/2002,33.834021,-118.343738
492,Single Family Residential,Irvine,3,2,1561,3920,2.51,41,1977,720000,127,461.24,735000,36500.00,23.38,11/16/1995,33.721075,-117.769795
493,Single Family Residential,Los Angeles,3,1.75,1702,8165,4.8,68,1950,895000,36,525.85,895000,325000.00,190.95,8/29/1997,33.974022,-118.382899
494,Single Family Residential,Irvine,3,2.5,1700,2500,1.47,38,1980,732988,57,431.17,732888,260000.00,152.94,5/3/1999,33.685018,-117.79025
495,Single Family Residential,Diamond Bar,5,4,4910,29329,5.97,38,1980,1590000,155,323.83,1590000,1120000.00,228.11,11/20/2012,33.976911,-117.826246
496,Single Family Residential,Irvine,3,2.5,2088,4500,2.16,40,1978,799900,194,383.09,859000,675000.00,323.28,8/10/2004,33.679474,-117.789059
497,Single Family Residential,Los Angeles,3,1.75,1282,5334,4.16,57,1961,552000,1,430.58,552000,342000.00,266.77,2/7/2003,33.803424,-118.301774
498,Single Family Residential,Diamond Bar,3,2.25,1701,6578,3.87,29,1989,679000,182,399.18,689000,559500.00,328.92,6/2/2010,34.015961,-117.791336
499,Single Family Residential,Los Angeles,2,1,1040,3485,3.35,96,1922,334900,8,322.02,234900,305000.00,293.27,5/26/2005,33.991375,-118.298211
500,Single Family Residential,Los Angeles,5,2.5,2121,5098,2.4,53,1965,629900,13,296.98,629900,188000.00,88.64,5/21/1997,33.803165,-118.295426
501,Single Family Residential,Irvine,4,3,3029,4356,1.44,38,1980,1190000,107,392.87,1190000,1015000.00,335.09,12/22/2005,33.7168,-117.771909
502,Single Family Residential,Los Angeles,2,1,752,2070,2.75,95,1923,350000,9,465.43,365000,220000.00,292.55,2/1/2016,33.781526,-118.272796
503,Single Family Residential,Westlake Village,4,3.5,3965,8466,2.14,12,2006,899450,1,226.85,899450,1028500.00,259.39,12/28/2006,34.300361,-118.759822
504,Single Family Residential,Los Angeles,4,2.5,1900,5370,2.83,63,1955,997500,45,525,997500,302500.00,159.21,4/29/1992,33.829049,-118.365585
505,Single Family Residential,Irvine,4,2.5,2150,4617,2.15,21,1997,1000000,52,465.12,1100000,950000.00,441.86,4/16/2013,33.728088,-117.758459
506,Townhouse,Westside,2,1.5,1163,5247,4.51,42,1976,1395000,49,1199.48,1395000,1015000.00,872.74,12/6/2006,33.990567,-118.47524
507,Single Family Residential,Los Angeles,6,4,2180,6107,2.8,54,1964,849000,55,389.45,875000,659000.00,302.29,9/5/2003,33.837305,-118.365696
508,Single Family Residential,Westlake Village,3,2,1414,7200,5.09,48,1970,779000,49,550.92,779000,731000.00,516.97,8/29/2006,34.167369,-118.823856
509,Single Family Residential,Diamond Bar,4,2,2219,8244,3.72,53,1965,618000,58,278.5,618000,545000.00,245.61,1/12/2007,34.031626,-117.806154
510,Townhouse,Irvine,1,1.5,1099,1363,1.24,13,2005,439000,31,399.45,459000,310000.00,282.07,11/14/2012,33.700814,-117.752791
511,Townhouse,Irvine,3,2.5,1868,2000,1.07,5,2013,895000,52,479.12,915000,706500.00,378.21,8/26/2013,,
512,Single Family Residential,Irvine,4,3,2600,6000,2.31,48,1970,1099000,56,422.69,1138000,670000.00,257.69,9/11/2014,33.682166,-117.781831
513,Single Family Residential,Irvine,3,2,1539,4050,2.63,45,1973,635000,64,412.61,659000,131500.00,85.45,11/8/2011,33.663736,-117.803171
514,Single Family Residential,Diamond Bar,5,3,2447,8444,3.45,47,1971,878000,335,358.81,898000,510000.00,208.42,4/22/2009,33.990521,-117.820611
515,Single Family Residential,Westlake Village,4,2.75,2879,5111,1.78,11,2007,870000,51,302.19,925000,831000.00,288.64,1/16/2008,34.280486,-118.583827
516,Single Family Residential,Irvine,5,4,3010,7466,2.48,15,2003,2199000,61,730.56,2199000,1042000.00,346.18,12/19/2003,33.628833,-117.82267
517,Single Family Residential,Westlake Village,5,4.5,4216,6884,1.63,19,1999,829000,147,196.63,859000,710000.00,168.41,7/20/2015,34.286739,-118.676189
518,Single Family Residential,Los Angeles,3,2.75,1602,3752,2.34,63,1955,498500,23,311.17,508500,360000.00,224.72,11/7/2014,33.743569,-118.295444
519,Single Family Residential,Diamond Bar,4,2.5,2522,22611,8.97,30,1988,878000,1,348.14,878000,770000.00,305.31,3/26/2007,34.004642,-117.78825
520,Single Family Residential,Los Angeles,3,2,1260,3371,2.68,95,1923,300000,127,238.1,300000,271500.00,215.48,10/1/2008,33.986949,-118.306218
521,Single Family Residential,Los Angeles,2,1.5,1204,3499,2.91,68,1950,615000,2,510.8,615000,349000.00,289.87,11/16/2011,33.837426,-118.324491
522,Townhouse,Irvine,4,3.5,2600,1500,0.58,40,1978,989000,202,380.38,1088000,750000.00,288.46,8/9/2008,33.654913,-117.817207
523,Single Family Residential,Redondo Beach,3,1,958,2754,2.87,72,1946,740000,91,772.44,740000,475000.00,495.82,11/25/2015,33.873268,-118.366544
524,Single Family Residential,Westlake Village,3,2.75,2868,8778,3.06,38,1980,1145000,45,399.23,1145000,428000.00,149.23,1/6/1997,34.193767,-118.811985
525,Single Family Residential,Westlake Village,4,2.75,2814,4991,1.77,29,1989,749000,10,266.17,749000,480000.00,170.58,8/30/2002,34.292243,-118.567063
526,Single Family Residential,Los Angeles,3,2,1230,4793,3.9,102,1916,590000,27,479.67,590000,289900.00,235.69,11/3/2011,33.747044,-118.297666
527,Single Family Residential,Diamond Bar,3,2,1534,7378,4.81,40,1978,649000,17,416.56,649000,420000.00,273.79,6/8/2010,33.995992,-117.808223
528,Single Family Residential,Irvine,5,2.75,2680,5105,1.9,21,1997,1455277,168,502.99,1585019,1354244.00,460.82,9/3/2013,33.726147,-117.758884
529,Single Family Residential,Westlake Village,6,3,3089,6627,2.15,50,1968,645000,31,208.81,645000,651500.00,210.91,7/1/2005,34.272307,-118.75422
530,Townhouse,Westside,3,3,1845,6938,3.76,43,1975,1250000,7,677.51,1250000,819000.00,443.9,4/30/2012,33.972178,-118.460014
531,Single Family Residential,Irvine,3,3,1270,3485,2.74,33,1985,699000,143,550.39,699000,625000.00,492.13,12/29/2005,33.706527,-117.772622
532,Single Family Residential,Westside,5,6,5129,8696,1.7,10,2008,5695000,7,1110.35,5695000,4700000.00,916.36,11/5/2008,34.042854,-118.486615
533,Single Family Residential,Irvine,4,3,2727,4324,1.59,39,1979,1148800,48,421.27,1148800,422500.00,154.93,2/7/2003,33.677516,-117.790354
534,Single Family Residential,Irvine,3,2.5,1549,2400,1.55,34,1984,889385,30,435.77,775280,519590.00,225.95,11/19/2009,33.718775,-117.772098
535,Single Family Residential,Westlake Village,4,3,2301,15956,6.93,40,1978,828000,58,359.84,828000,745000.00,323.77,1/21/2005,34.278814,-118.55521
536,Single Family Residential,Westlake Village,3,2.5,2165,8706,4.02,30,1988,940000,146,434.18,938000,422000.00,194.92,10/5/1998,34.195857,-118.806428
537,Single Family Residential,Diamond Bar,4,3,2126,12872,6.05,58,1960,635000,120,298.68,719900,392000.00,184.38,6/10/2010,34.018574,-117.807644
538,Single Family Residential,Irvine,4,3.5,3591,5940,1.65,8,2010,1849000,9,514.9,1849000,504500.00,140.49,4/9/2014,33.635592,-117.825249
539,Single Family Residential,Westside,3,3,2219,3251,1.47,94,1924,2498000,29,1125.73,2498000,1450000.00,653.45,10/31/2007,33.992677,-118.460437
540,Single Family Residential,Irvine,3,2.5,2332,4500,1.93,4,2014,1055000,9,452.4,1055000,850000.00,364.49,12/26/2014,33.696459,-117.732196
541,Single Family Residential,Westlake Village,5,4.5,3889,11918,3.06,13,2005,1129900,27,290.54,1129900,1065500.00,273.98,8/23/2005,34.302035,-118.696667
542,Single Family Residential,Irvine,4,2.75,2785,4312,1.55,8,2010,1259900,169,452.39,1299900,909500.00,326.57,6/21/2010,33.688664,-117.749713
543,Townhouse,Los Angeles,2,2,1813,12156,6.7,36,1982,425000,42,234.42,440000,239000.00,131.83,11/30/1988,33.732173,-118.297499
544,Single Family Residential,Los Angeles,4,2,1399,5963,4.26,74,1944,435500,107,311.29,450000,286000.00,204.43,10/28/2003,33.804552,-118.258514
545,Single Family Residential,Redondo Beach,3,2,1385,2505,1.81,51,1967,849000,78,613,859000,297000.00,214.44,5/20/1999,33.870414,-118.38921
546,Single Family Residential,Los Angeles,2,2,1300,7995,6.15,68,1950,840000,29,646.15,840000,545000.00,419.23,3/2/2014,33.822478,-118.3202
547,Single Family Residential,Diamond Bar,3,3,1745,9466,5.42,30,1988,679000,82,389.11,680000,554000.00,317.48,8/17/2004,34.005024,-117.79047
548,Townhouse,Westside,2,1.5,1147,7381,6.44,46,1972,730000,154,636.44,740000,475000.00,414.12,6/29/2011,34.032086,-118.469944
549,Single Family Residential,Los Angeles,4,4,3384,6941,2.05,19,1999,1599000,35,472.52,1650000,1300000.00,384.16,6/14/2006,33.816047,-118.368313
550,Single Family Residential,Westlake Village,3,2.5,1752,5283,3.02,34,1984,538500,19,307.36,528500,590000.00,336.76,5/2/2006,34.273936,-118.683679
551,Single Family Residential,Diamond Bar,4,3,2168,12828,5.92,31,1987,1211094,47,452.03,1140387,480866.00,148.06,7/1/1996,33.980966,-117.854676
552,Single Family Residential,Westlake Village,4,2,1904,6500,3.41,54,1964,524950,9,275.71,524950,465000.00,244.22,3/21/2008,34.263087,-118.757208
553,Single Family Residential,Irvine,3,2.5,3000,4918,1.64,14,2004,1790000,240,596.67,1950000,1250000.00,416.67,8/11/2008,33.626343,-117.82403
554,Single Family Residential,Irvine,4,3,2801,5658,2.02,31,1987,1195000,87,426.63,1195000,415000.00,148.16,8/24/1993,33.677087,-117.817112
555,Single Family Residential,Westlake Village,4,2.5,3080,7518,2.44,18,2000,779900,24,253.21,779900,528000.00,171.43,6/28/2002,34.25521,-118.812023
556,Townhouse,Irvine,4,3.25,3100,2000,0.65,43,1975,958000,133,309.03,995000,759900.00,245.13,8/31/2011,33.651978,-117.816833
557,Single Family Residential,Diamond Bar,6,5,5584,37321,6.68,39,1979,2950000,65,528.3,2950000,1500000.00,268.62,12/28/2007,33.977006,-117.827819
558,Single Family Residential,Los Angeles,1,2,990,6434,6.5,97,1921,270000,7,272.73,270000,209000.00,211.11,6/14/2010,33.98441,-118.298877
559,Single Family Residential,Los Angeles,3,1.75,1291,6583,5.1,68,1950,1099000,104,851.28,1099000,469000.00,363.28,4/27/2001,33.97344,-118.399113
560,Single Family Residential,Westlake Village,4,3,2655,5703,2.15,12,2006,799999,30,301.32,799999,967500.00,364.41,6/30/2006,34.281997,-118.587041
561,Single Family Residential,Westlake Village,4,4,3406,13098,3.85,19,1999,1300000,31,381.68,1300000,1095000.00,321.49,10/7/2013,34.293576,-118.571512
562,Single Family Residential,Diamond Bar,5,3.5,2298,9191,4,49,1969,776185,21,282.81,781170,525481.00,130.55,9/13/2011,34.038347,-117.801479
563,Townhouse,Irvine,4,2.5,2855,2550,0.89,40,1978,988000,150,346.06,988000,201500.00,70.58,9/26/1978,33.6561,-117.814274
564,Single Family Residential,Diamond Bar,6,5.5,6991,26084,3.73,22,1996,4298000,30,614.79,4298000,2498000.00,357.32,5/9/2008,33.967904,-117.826057
565,Single Family Residential,Los Angeles,3,2,1305,6608,5.06,63,1955,725000,49,555.56,725000,620000.00,475.1,11/25/2014,33.746027,-118.316822
566,Townhouse,Irvine,2,2,1491,1500,1.01,34,1984,685000,145,459.42,270000,665000.00,446.01,11/1/2005,33.667444,-117.810205
567,Single Family Residential,Los Angeles,4,4,2563,5580,2.18,17,2001,825000,11,321.89,825000,830000.00,323.84,8/31/2007,33.804142,-118.316635
568,Single Family Residential,Diamond Bar,5,2.5,2766,7224,2.61,51,1967,695000,63,251.27,698000,450000.00,162.69,9/15/2009,34.033678,-117.800871
569,Single Family Residential,Westlake Village,4,3,2282,6582,2.88,21,1997,785000,101,344,785000,373000.00,163.45,3/12/1999,34.286888,-118.568278
570,Townhouse,Irvine,3,3,2624,4000,1.52,15,2003,1599000,365,609.38,1599000,1499000.00,571.27,6/26/2007,33.632659,-117.821805
571,Single Family Residential,Diamond Bar,3,2,1839,11416,6.21,54,1964,625800,15,340.29,625000,225000.00,122.35,2/29/2000,34.027693,-117.809414
572,Single Family Residential,Westside,4,5,4278,7281,1.7,12,2006,2350000,27,549.32,2350000,2054500.00,480.25,2/26/2007,33.964792,-118.429085
573,Single Family Residential,Westlake Village,4,2,2105,7800,3.71,53,1965,720000,29,342.04,720000,665000.00,315.91,10/7/2015,34.277482,-118.532968
574,Single Family Residential,Los Angeles,6,4,2342,5457,2.33,65,1953,849000,20,362.51,849000,362000.00,154.57,8/17/2001,33.866806,-118.331849
575,Single Family Residential,Diamond Bar,4,4,2604,9909,3.81,46,1972,950000,139,364.82,950000,348500.00,133.83,6/5/2003,34.002032,-117.846339
576,Single Family Residential,Westlake Village,4,3,1958,6666,3.4,54,1964,559000,20,285.5,569000,225000.00,114.91,7/22/1999,34.257007,-118.744702
577,Single Family Residential,Los Angeles,2,1,1008,5170,5.13,89,1929,575000,155,570.44,575000,220000.00,218.25,6/23/1988,33.832568,-118.328249
578,Single Family Residential,Westside,3,2,1068,2248,2.1,107,1911,1699900,48,1591.67,1699900,1100000.00,1029.96,12/10/2014,33.99054,-118.473904
579,Single Family Residential,Diamond Bar,3,2,1891,14877,7.87,45,1973,560000,230,296.14,599000,458000.00,242.2,7/5/2013,34.026917,-117.812983
580,Single Family Residential,Diamond Bar,4,2.5,1604,14690,9.16,31,1987,680000,13,423.94,680000,495000.00,308.6,11/8/2004,34.021093,-117.788208
581,Single Family Residential,Irvine,4,3,2400,4495,1.87,16,2002,1098000,112,457.5,1098000,1010000.00,420.83,9/20/2013,33.727044,-117.769842
582,Single Family Residential,Westlake Village,3,2,1434,8950,6.24,54,1964,544500,24,379.71,544500,443000.00,308.93,3/29/2010,34.298665,-118.708039
583,Single Family Residential,Los Angeles,4,3,2474,4999,2.02,90,1928,630000,288,254.65,695000,799000.00,322.96,11/28/2006,33.727276,-118.304243
584,Single Family Residential,Westside,3,2.5,2176,13748,6.32,45,1973,2395000,42,1100.64,2495000,973000.00,447.15,7/12/1990,34.03408,-118.518493
585,Single Family Residential,Los Angeles,2,1,952,3486,3.66,95,1923,337000,52,353.99,340000,109500.00,115.02,3/11/1998,33.991374,-118.297942
586,Single Family Residential,Los Angeles,3,2,1672,5981,3.58,50,1968,1125000,86,672.85,1200000,756000.00,452.15,2/11/2010,34.034541,-118.46247
587,Single Family Residential,Los Angeles,3,1,1107,5552,5.02,65,1953,875470,7,663.96,863718,487460.00,261.97,3/29/1990,33.824939,-118.357851
588,Single Family Residential,Westlake Village,5,5.5,6000,42926,7.15,20,1998,2888000,45,481.33,2888000,3000000.00,500,8/10/2006,34.197707,-118.820807
589,Single Family Residential,Los Angeles,4,2,1325,4989,3.77,65,1953,439900,43,332,439900,395000.00,298.11,11/16/2004,33.826901,-118.283247
590,Single Family Residential,Westlake Village,5,4,2728,6500,2.38,54,1964,599999,89,219.94,599999,450000.00,164.96,6/5/2013,34.262127,-118.75513
591,Single Family Residential,Redondo Beach,3,2,2249,4647,2.07,35,1983,1695000,1,753.67,1695000,1385000.00,615.83,1/7/2014,33.900701,-118.39963
592,Single Family Residential,Irvine,5,3.5,3800,8500,2.24,21,1997,1649800,146,434.16,1750000,478500.00,125.92,10/30/1997,33.721896,-117.754921
593,Single Family Residential,Westside,7,6.5,7066,46406,6.57,46,1972,22500000,170,3184.26,22500000,11500000.00,1627.51,7/5/2013,34.043059,-118.501017
594,Single Family Residential,Diamond Bar,7,6.5,11020,77710,7.05,22,1996,3999888,24,362.97,3999888,1580000.00,143.38,7/28/1998,33.993359,-117.804239
595,Townhouse,Westside,3,2.5,1670,7511,4.5,39,1979,1665000,56,997.01,1665000,340000.00,203.59,3/17/1995,34.028743,-118.492457
596,Single Family Residential,Westside,4,2.5,2500,7028,2.81,78,1940,1795000,48,718,1795000,1400000.00,560,2/7/2014,34.012454,-118.460007
597,Single Family Residential,Los Angeles,3,2,2003,5669,2.83,74,1944,765000,24,381.93,779000,582000.00,290.56,11/20/2009,33.719348,-118.30955
598,Single Family Residential,Diamond Bar,6,8.5,10417,33103,3.18,15,2003,5180000,213,497.26,5180000,3000000.00,287.99,1/28/2010,33.968495,-117.829032
599,Townhouse,Westlake Village,2,1,924,3049,3.3,46,1972,399950,20,432.85,399950,410000.00,443.72,9/22/2006,34.148341,-118.823424
600,Single Family Residential,Irvine,6,5.25,3900,7336,1.88,22,1996,1990000,158,510.26,1990000,1620000.00,415.38,9/13/2010,33.724492,-117.762124
601,Single Family Residential,Los Angeles,4,2.5,2940,6053,2.06,73,1945,1490000,131,506.8,1150000,1145454.00,389.61,1/13/1994,33.965433,-118.408497
602,Single Family Residential,Westlake Village,4,1.75,1550,7100,4.58,45,1973,625000,31,403.23,550000,360000.00,232.26,9/29/2000,34.154404,-118.8407
